table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
postgres,public,brands_unimarc,brand_id,1,null,NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,brands_unimarc,name,2,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,brands_unimarc,created_at,3,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,category_vtex_id,1,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,name,2,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,slug,3,null,YES,character varying,512,2048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,category_okto_id,4,null,YES,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,category_okto_name,5,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,categories_unimarc,created_at,6,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,certification_definitions_unimarc,id,1,nextval('certification_definitions_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,certification_definitions_unimarc,code,2,null,NO,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,certification_definitions_unimarc,name,3,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,certification_definitions_unimarc,created_at,4,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,ingredients_unimarc,id,1,nextval('ingredients_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,ingredients_unimarc,name,2,null,NO,character varying,512,2048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,ingredients_unimarc,created_at,3,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,nutritional_value_types_unimarc,id,1,nextval('nutritional_value_types_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,nutritional_value_types_unimarc,name,2,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,nutritional_value_types_unimarc,unit,3,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,nutritional_value_types_unimarc,parent_id,4,null,YES,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,nutritional_value_types_unimarc,created_at,5,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_allergens_unimarc,product_ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_allergens_unimarc,allergen_id,2,null,NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,id,1,nextval('product_certifications_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,product_ean,2,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,certification_code,3,null,NO,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,certification_name,4,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,certifier_name,5,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,certifier_country,6,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,certification_degree,7,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_certifications_unimarc,raw_certificate_json,8,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_images_unimarc,id,1,nextval('product_images_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_images_unimarc,product_ean,2,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_images_unimarc,image_url,3,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_images_unimarc,source,4,null,NO,character varying,10,40,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_images_unimarc,is_primary,5,false,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_ingredients_unimarc,product_ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_ingredients_unimarc,ingredient_id,2,null,NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_ingredients_unimarc,display_order,3,null,YES,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,id,1,nextval('product_nutritional_values_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,product_ean,2,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,nutrient_name,3,null,NO,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,value_per_100g,4,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,value_per_portion,5,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,unit,6,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,is_child_nutrient,7,false,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,parent_nutrient_name,8,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,serving_text,9,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,serving_value,10,null,YES,numeric,null,null,10,10,2,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,10,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,serving_unit,11,null,YES,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,11,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_nutritional_values_unimarc,num_servings,12,null,YES,numeric,null,null,10,10,1,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,12,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,product_ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,price_current,2,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,price_list,3,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,price_without_discount,4,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,is_in_offer,5,false,YES,boolean,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,bool,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,saving_text,6,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,ppum_current,7,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,ppum_list,8,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_prices_unimarc,last_updated,9,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,id,1,nextval('product_promotions_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,product_ean,2,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,promotion_type,3,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,promotion_name,4,null,YES,character varying,512,2048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,promotion_id_source,5,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_promotions_unimarc,raw_price_detail_json,6,null,YES,jsonb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,jsonb,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_traces_unimarc,product_ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_traces_unimarc,trace_id,2,null,NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_warnings_unimarc,product_ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,product_warnings_unimarc,warning_code,2,null,NO,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,ean,1,null,NO,character varying,20,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,name_vtex,2,null,YES,character varying,512,2048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,name_okto,3,null,YES,character varying,512,2048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,brand_id,4,null,YES,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,category_vtex_id,5,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,sku_item_vtex,6,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,sku_producto_vtex,7,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,7,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,description_short_vtex,8,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,8,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,description_long_okto,9,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,9,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,net_content_vtex,10,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,10,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,flavor_okto,11,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,11,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,size_value_okto,12,null,YES,numeric,null,null,10,10,3,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,numeric,null,null,null,null,12,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,size_unit_okto,13,null,YES,character varying,50,200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,13,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,packaging_type_okto,14,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,14,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,origin_country_okto,15,null,YES,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,15,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,url_scraped,16,null,NO,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,16,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,products_unimarc,last_scraped_at,17,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,17,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,id,1,null,NO,uuid,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,uuid,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,name,2,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,updated_at,3,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,peso,4,null,YES,double precision,null,null,53,2,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,float8,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,estatura,5,null,YES,double precision,null,null,53,2,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,float8,null,null,null,null,5,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,profiles,alergias,6,null,YES,text,null,1073741824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,text,null,null,null,null,6,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,warning_types_unimarc,id,1,nextval('warning_types_unimarc_id_seq'::regclass),NO,integer,null,null,32,2,0,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,int4,null,null,null,null,1,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,warning_types_unimarc,code,2,null,NO,character varying,100,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,2,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,warning_types_unimarc,description,3,null,YES,character varying,255,1020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,varchar,null,null,null,null,3,NO,NO,null,null,null,null,null,NO,NEVER,null,YES
postgres,public,warning_types_unimarc,created_at,4,now(),YES,timestamp with time zone,null,null,null,null,null,6,null,null,null,null,null,null,null,null,null,null,null,postgres,pg_catalog,timestamptz,null,null,null,null,4,NO,NO,null,null,null,null,null,NO,NEVER,null,YES